date;prix;rendements
05/12/2017;6,717;-0,014958205
06/12/2017;6,622;-0,014143219
07/12/2017;6,766;0,021745696
08/12/2017;6,728;-0,005616317
11/12/2017;6,787;0,008769322
12/12/2017;6,807;0,00294681
13/12/2017;6,587;-0,032319671
14/12/2017;6,585;-0,000303628
15/12/2017;6,636;0,007744875
18/12/2017;6,755;0,017932489
19/12/2017;6,672;-0,012287195
20/12/2017;6,623;-0,007344125
21/12/2017;6,741;0,017816699
22/12/2017;6,681;-0,008900757
27/12/2017;6,648;-0,00493938
28/12/2017;6,635;-0,001955475
29/12/2017;6,596;-0,00587792
02/01/2018;6,676;0,012128563
03/01/2018;6,672;-0,000599161
04/01/2018;6,908;0,035371703
05/01/2018;6,888;-0,002895194
08/01/2018;6,9;0,00174216
09/01/2018;6,994;0,013623188
10/01/2018;7,04;0,006577066
11/01/2018;7,11;0,009943182
12/01/2018;7,114;0,000562588
15/01/2018;7,122;0,001124543
16/01/2018;7,12;-0,00028082
17/01/2018;7,19;0,009831461
18/01/2018;7,288;0,013630042
19/01/2018;7,234;-0,00740944
22/01/2018;7,39;0,021564833
23/01/2018;7,426;0,004871448
24/01/2018;7,35;-0,010234312
25/01/2018;7,404;0,007346939
26/01/2018;7,386;-0,002431118
29/01/2018;7,364;-0,002978608
30/01/2018;7,308;-0,007604563
31/01/2018;7,334;0,003557745
01/02/2018;7,378;0,005999455
02/02/2018;7,288;-0,012198428
05/02/2018;7,144;-0,019758507
06/02/2018;6,824;-0,044792833
07/02/2018;7,118;0,043083236
08/02/2018;7,064;-0,007586401
09/02/2018;6,962;-0,014439411
